UCL_CODE11,score_rent
115028,0.61
102001,0.46
122032,0.27
122048,0.8
114003,0.63
122108,0.75
122142,0.45
122089,0.54
115101,0.49
122140,0.55
122162,0.7
121111,0.54
115057,0.61
122130,0.68
122131,0.51
121080,0.57
121117,0.61
112006,0.56
122138,0.68
114032,0.48
122135,0.52
114033,0.62
122077,0.77
122098,0.51
122117,0.35
102002,0.32
121052,0.43
114027,0.38
112001,0.52
122119,0.71
115112,0.66
122150,0.79
114006,0.68
122164,0.76
121037,0.72
115071,0.82
113017,0.64
122148,0.82
122155,0.78
122092,0.62
115149,0.65
122122,0.47
121100,0.72
121032,0.67
122088,0.64
121017,0.44
122132,0.66
115088,0.58
122165,0.64
122167,0.5
115015,0.49
112004,0.47
122103,0.47
115054,0.7
121079,0.28
122022,0.44
122102,0.51
122125,0.44
121012,0.85
115041,0.74
122065,0.8
115151,0.78
122062,0.81
113005,0.69
122095,0.89
122094,0.76
121039,0.54
112005,0.53
121123,0.69
115067,0.77
121113,0.71
122169,0.7
121088,0.43
112003,0.53
122100,0.51
122116,0.62
122104,0.52
113019,0.51
122026,0.58
121066,0.4
111002,0.48
122085,0.44
115021,0.34
115132,0.43
115121,0.4
122144,0.53
122128,0.45
122121,0.5
121102,0.41
113015,0.59
115053,0.62
114025,0.55
121084,0.71
103001,0.52
113011,0.28
121050,0.33
122133,0.11
121105,0.62
121043,0.5
122051,0.54
115063,0.6
122069,0.63
121103,0.56
122071,0.58
115144,0.61
115127,0.51
122086,0.61
122020,0.48
112011,0.39
122141,0.57
121057,0.49
115069,0.64
122124,0.46
121110,0.59
122081,0.59
115158,0.58
111001,0.6
121115,0.72
115080,0.8
121029,0.72
122053,0.83
114005,0.67
122156,0.68
114007,0.68
122099,0.85
121076,0.5
121051,0.74
113001,0.53
115076,0.71
115142,0.68
115146,0.81
122052,0.68
114012,0.62
122060,0.83
122049,0.8
122157,0.74
114017,0.64
122146,0.86
114022,0.57
115152,0.78
114010,0.53
121028,0.72
122158,0.71
121059,0.52
122106,0.51
122111,0.63
102004,0.41
121087,0.44
115162,0.45
122008,0.49
122129,0.43
121075,0.27
113002,0.43
122143,0.4
122054,0.24
115126,0.3
115129,0.05
122025,0.56
122082,0.11
115106,0.35
122055,0.61
122019,0.69
122163,0.66
112007,0.55
122107,0.54
121025,0.27
114020,0.49
122153,0.52
121046,0.32
102003,0.34
113009,0.6
122160,0.77
121128,0.68
122010,0.75
122074,0.73
114028,0.65
122136,0.75
122134,0.71
115075,0.77
115089,0.68
122004,0.75
115058,0.35
112013,0.53
122127,0.57
122139,0.65
122073,0.44
122045,0.42
115070,0.53
121049,0.44
122137,0.52
121089,0.55
121092,0.5
115130,0.57
122166,0.62
121058,0.49
122079,0.54
113004,0.21
122009,0.33
122014,0.43
122029,0.4
122161,0.5
121042,0.11
115065,0.17
122078,0.31
121097,0.21
122046,0.0
121060,0.17
122093,0.4
121129,0.32
121122,0.27
122120,0.36
121091,0.38
121082,0.44
121070,0.44
122084,0.4
112002,0.35
122113,0.17
115123,0.33
122002,0.36
122168,0.26
101001,0.29
122083,0.06
121081,0.25
115034,0.11
122159,0.21
121067,0.25
221016,0.45
211002,0.6
222070,0.6
222048,0.68
221072,0.58
222067,0.7
221003,0.76
