UCL_CODE11,UCL_NAME11,fraction_with_internet,score_internet
101001,Sydney,0.762062339880444,0.8351729014420078
102001,Canberra - Queanbeyan (Queanbeyan Part),0.7644974226804123,0.8378416006558019
102002,Central Coast,0.8224949624473347,0.9014032950589631
102003,Gold Coast - Tweed Heads (Tweed Heads Part),0.7637137452711223,0.8369827389833908
102004,Newcastle,0.8083114510788902,0.8858590492377121
103001,Wollongong,0.6774891774891775,0.7424859784410346
111001,Albury - Wodonga (Albury Part),0.7060425953442299,0.7737787475336936
111002,Maitland (NSW),0.7843118656928768,0.8595569971465582
112001,Bathurst,0.7398523985239852,0.810832187837868
112002,Blue Mountains,0.8328100470957613,0.9127079859269018
112003,Cessnock,0.6890817948404451,0.7551907656505483
112004,Coffs Harbour,0.736992159657876,0.807697544033005
112005,Dubbo,0.7283176593521421,0.7981908315112499
112006,Goulburn,0.6948553764627953,0.7615182518192086
112007,Lismore,0.6961103362777002,0.7628936096803145
112008,Mildura - Buronga (Buronga Part),0.661626481405803,0.7251014506677254
112009,Nowra - Bomaderry,0.7154647544310648,0.7841048475528005
112010,Orange,0.7914093206064009,0.8673353660578361
112011,Port Macquarie,0.7862109905020352,0.8616383197550395
112012,Tamworth,0.7085946145333825,0.7765756017530934
112013,Wagga Wagga,0.7594811612106238,0.8323440902463881
113001,Armidale,0.7649425287356322,0.8383294091934154
113002,Ballina,0.6929252383341696,0.7594029405425472
113003,Batemans Bay,0.6906110283159463,0.7568667103756439
113004,Bowral - Mittagong,0.8316287878787879,0.9114133993347477
113005,Broken Hill,0.6577927112949082,0.7208998772013342
113006,Echuca - Moama (Moama Part),0.7322314049586777,0.802480053143996
113007,Forster - Tuncurry,0.6986744759556104,0.7657037472011357
113008,Grafton,0.6752597658818887,0.7400426820555185
113009,Griffith,0.6598244620611552,0.7231265496054838
113010,Kempsey,0.6180758017492711,0.6773726159188209
113011,Kiama,0.8082022818378045,0.8857394065430736
113012,Kurri Kurri - Weston,0.712411400995325,0.7807585621971237
113013,Lithgow,0.6591718193741802,0.7224112938344517
113014,Morisset - Cooranbong,0.7587727032269441,0.8315676643835481
113015,Muswellbrook,0.7274664393777968,0.7972579473907055
113016,Nelson Bay - Corlette,0.7524223187437353,0.8246080381737739
113017,Parkes,0.6642235455794778,0.7279476713870163
113018,Raymond Terrace,0.686624203821656,0.7524973988296109
113019,Singleton,0.7675320296695887,0.8411673410726348
113020,Taree,0.6810040065991044,0.7463380124180332
113021,Ulladulla,0.7309267404823298,0.8010502220670649
114001,Camden Haven,0.7265732344050564,0.7962790503246426
114002,Casino,0.6398382204246714,0.7012228725138145
114003,Cooma,0.6936656282450675,0.7602143618104975
114004,Cootamundra,0.6642812694461729,0.7280109331527634
114005,Corowa - Wahgunyah (Corowa Part),0.6913319238900634,0.7576567670636131
114006,Cowra,0.649561629706034,0.7118791239993528
114007,Deniliquin,0.6457632303456715,0.7077163146744265
114008,Forbes,0.6467417932386085,0.7087887587092097
